date,hospital,blood_group,demand_units,is_emergency
2021-01-01,Tema General Hospital,Whole Blood / RBC,30,1
2021-01-02,Tema General Hospital,Whole Blood / RBC,40,0
2021-01-03,Tema General Hospital,Whole Blood / RBC,21,1
2021-01-04,Tema General Hospital,Whole Blood / RBC,35,0
2021-01-05,Tema General Hospital,Whole Blood / RBC,36,0
2021-01-06,Tema General Hospital,Whole Blood / RBC,37,1
2021-01-07,Tema General Hospital,Whole Blood / RBC,43,0
2021-01-08,Tema General Hospital,Whole Blood / RBC,33,0
2021-01-09,Tema General Hospital,Whole Blood / RBC,22,1
2021-01-10,Tema General Hospital,Whole Blood / RBC,31,0
2021-01-11,Tema General Hospital,Whole Blood / RBC,41,1
2021-01-12,Tema General Hospital,Whole Blood / RBC,46,1
2021-01-13,Tema General Hospital,Whole Blood / RBC,41,0
2021-01-14,Tema General Hospital,Whole Blood / RBC,48,1
2021-01-15,Tema General Hospital,Whole Blood / RBC,32,0
2021-01-16,Tema General Hospital,Whole Blood / RBC,20,0
2021-01-17,Tema General Hospital,Whole Blood / RBC,22,0
2021-01-18,Tema General Hospital,Whole Blood / RBC,31,1
2021-01-19,Tema General Hospital,Whole Blood / RBC,31,0
2021-01-20,Tema General Hospital,Whole Blood / RBC,46,0
2021-01-21,Tema General Hospital,Whole Blood / RBC,35,0
2021-01-22,Tema General Hospital,Whole Blood / RBC,45,0
2021-01-23,Tema General Hospital,Whole Blood / RBC,28,0
2021-01-24,Tema General Hospital,Whole Blood / RBC,21,0
2021-01-25,Tema General Hospital,Whole Blood / RBC,42,0
2021-01-26,Tema General Hospital,Whole Blood / RBC,40,0
2021-01-27,Tema General Hospital,Whole Blood / RBC,34,0
2021-01-28,Tema General Hospital,Whole Blood / RBC,41,0
2021-01-29,Tema General Hospital,Whole Blood / RBC,54,0
2021-01-30,Tema General Hospital,Whole Blood / RBC,29,1
2021-01-31,Tema General Hospital,Whole Blood / RBC,27,0
2021-02-01,Tema General Hospital,Whole Blood / RBC,41,1
2021-02-02,Tema General Hospital,Whole Blood / RBC,41,0
2021-02-03,Tema General Hospital,Whole Blood / RBC,49,1
2021-02-04,Tema General Hospital,Whole Blood / RBC,66,0
2021-02-05,Tema General Hospital,Whole Blood / RBC,44,0
2021-02-06,Tema General Hospital,Whole Blood / RBC,16,0
2021-02-07,Tema General Hospital,Whole Blood / RBC,32,1
2021-02-08,Tema General Hospital,Whole Blood / RBC,40,0
2021-02-09,Tema General Hospital,Whole Blood / RBC,44,0
2021-02-10,Tema General Hospital,Whole Blood / RBC,40,0
2021-02-11,Tema General Hospital,Whole Blood / RBC,48,0
2021-02-12,Tema General Hospital,Whole Blood / RBC,38,0
2021-02-13,Tema General Hospital,Whole Blood / RBC,21,0
2021-02-14,Tema General Hospital,Whole Blood / RBC,27,1
2021-02-15,Tema General Hospital,Whole Blood / RBC,55,0
2021-02-16,Tema General Hospital,Whole Blood / RBC,46,0
2021-02-17,Tema General Hospital,Whole Blood / RBC,36,0
2021-02-18,Tema General Hospital,Whole Blood / RBC,44,0
2021-02-19,Tema General Hospital,Whole Blood / RBC,32,0
2021-02-20,Tema General Hospital,Whole Blood / RBC,38,0
2021-02-21,Tema General Hospital,Whole Blood / RBC,23,0
2021-02-22,Tema General Hospital,Whole Blood / RBC,61,0
2021-02-23,Tema General Hospital,Whole Blood / RBC,51,0
2021-02-24,Tema General Hospital,Whole Blood / RBC,46,0
2021-02-25,Tema General Hospital,Whole Blood / RBC,58,1
